City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Brownsville,US,2021-10-29 18:39:51,25.9018,-97.4975,82.35,22,1,7.0
168,Sao Jose Da Coroa Grande,BR,2021-10-29 18:41:08,-8.8978,-35.1478,79.02,67,100,10.2
169,Talnakh,RU,2021-10-29 18:41:09,69.4865,88.3972,15.67,95,100,9.04
170,Baie-Comeau,CA,2021-10-29 18:41:09,49.2168,-68.1489,49.68,71,1,8.05
171,Zary,PL,2021-10-29 18:41:10,51.6421,15.1373,49.91,86,21,3.78
172,Kirakira,SB,2021-10-29 18:41:10,-10.4544,161.9205,79.18,86,48,10.69
173,Shakawe,BW,2021-10-29 18:41:11,-18.3667,21.85,79.92,41,66,0.31
174,Saint-Philippe,RE,2021-10-29 18:41:11,-21.3585,55.7679,71.15,81,46,8.48
175,Ermoupolis,GR,2021-10-29 18:41:11,37.4423,24.9425,64.29,72,20,19.57
176,Mumbwa,ZM,2021-10-29 18:41:12,-14.9783,27.0619,76.77,34,4,9.44
177,Cabinda,AO,2021-10-29 18:41:12,-5.55,12.2,79.61,80,99,2.46
178,Monte Gordo,PT,2021-10-29 18:41:13,37.1819,-7.4523,69.75,89,100,18.07
179,Tuatapere,NZ,2021-10-29 18:41:13,-46.1333,167.6833,52.11,91,99,5.46
180,Hilo,US,2021-10-29 18:41:14,19.7297,-155.09,78.24,69,1,5.75
181,Ribeira Grande,PT,2021-10-29 18:41:14,38.5167,-28.7,68.4,94,75,10.36
182,San Patricio,US,2021-10-29 18:41:14,28.017,-97.5169,79.93,14,0,18.77
183,Reinsvoll,NO,2021-10-29 18:41:15,60.6833,10.6167,48.33,94,100,5.7
184,Susanville,US,2021-10-29 18:36:28,40.4163,-120.653,41.11,46,32,4.0
185,Tiznit,MA,2021-10-29 18:41:15,29.5833,-9.5,63.72,70,0,4.14
186,Tessalit,ML,2021-10-29 18:41:16,20.1986,1.0114,87.62,15,100,10.18
187,Taraz,KZ,2021-10-29 18:41:16,42.9,71.3667,39.61,93,75,4.47
188,Mareeba,AU,2021-10-29 18:41:17,-17.0,145.4333,68.72,95,45,2.28
189,Paris,FR,2021-10-29 18:37:40,48.8534,2.3488,55.98,95,75,1.99
190,Esperance,AU,2021-10-29 18:41:17,-33.8667,121.9,49.84,79,34,6.06
191,Sijunjung,ID,2021-10-29 18:41:18,-0.6876,100.9537,72.19,97,57,1.25
192,Dickinson,US,2021-10-29 18:41:18,29.4608,-95.0513,73.17,33,1,1.99
193,Le Moule,GP,2021-10-29 18:41:19,16.3332,-61.3473,86.18,100,10,5.99
194,Bloemfontein,ZA,2021-10-29 18:41:17,-29.1211,26.214,58.48,94,40,2.3
195,Bredasdorp,ZA,2021-10-29 18:41:19,-34.5322,20.0403,61.92,82,9,11.5
196,Tuktoyaktuk,CA,2021-10-29 18:41:20,69.4541,-133.0374,26.6,100,90,2.3
197,Dunedin,NZ,2021-10-29 18:41:20,-45.8742,170.5036,57.79,93,100,11.01
198,Amahai,ID,2021-10-29 18:41:20,-3.3333,128.9167,78.13,84,100,4.27
199,Atambua,ID,2021-10-29 18:41:21,-9.1061,124.8925,76.06,83,80,1.3
200,Walvis Bay,NA,2021-10-29 18:41:21,-22.9575,14.5053,63.55,72,0,11.5
201,Lufkin,US,2021-10-29 18:41:13,31.3382,-94.7291,69.91,37,1,13.8
202,Poum,NC,2021-10-29 18:41:22,-20.2333,164.0167,75.02,74,0,13.56
203,Araucaria,BR,2021-10-29 18:41:22,-25.5931,-49.4103,70.56,82,83,7.18
204,Miles City,US,2021-10-29 18:41:22,46.4083,-105.8406,67.51,44,1,6.91
205,Lebu,CL,2021-10-29 18:40:43,-37.6167,-73.65,57.87,69,100,17.54
206,Longyearbyen,SJ,2021-10-29 18:41:23,78.2186,15.6401,26.44,59,20,14.97
207,Zelenogorskiy,RU,2021-10-29 18:41:23,55.0333,87.0,36.12,58,100,11.27
208,Ilulissat,GL,2021-10-29 18:41:24,69.2167,-51.1,23.02,80,40,2.3
209,Rio Grande,BR,2021-10-29 18:41:24,-32.035,-52.0986,78.91,73,3,19.46
210,Bosaso,SO,2021-10-29 18:41:25,11.2842,49.1816,80.35,60,0,6.87
211,Alofi,NU,2021-10-29 18:41:25,-19.0595,-169.9187,75.09,60,78,10.36
212,Kudahuvadhoo,MV,2021-10-29 18:41:26,2.6708,72.8944,82.27,76,100,11.07
213,Vestmannaeyjar,IS,2021-10-29 18:41:26,63.4427,-20.2734,47.39,87,75,23.02
214,Torit,SS,2021-10-29 18:41:27,4.4133,32.5678,78.39,61,84,3.0
215,Ponta Do Sol,PT,2021-10-29 18:41:27,32.6667,-17.1,74.71,70,63,9.4
216,Flinders,AU,2021-10-29 18:41:28,-34.5833,150.8552,60.8,71,98,5.99
217,Abu Samrah,SY,2021-10-29 18:41:28,35.3029,37.1841,67.73,52,99,7.07
218,Sabha,LY,2021-10-29 18:41:28,27.0377,14.4283,70.92,30,63,8.16
219,Banda Aceh,ID,2021-10-29 18:41:29,5.5577,95.3222,74.55,94,100,4.99
220,Wufeng,CN,2021-10-29 18:41:29,27.45,104.8333,43.97,92,100,0.89
221,Te Anau,NZ,2021-10-29 18:41:29,-45.4167,167.7167,48.97,89,82,2.75
222,Lardos,GR,2021-10-29 18:41:30,36.0942,28.0157,67.82,70,38,5.03
223,Vila,PT,2021-10-29 18:41:30,42.0304,-8.1588,47.28,93,100,7.52
224,Saskylakh,RU,2021-10-29 18:41:31,71.9167,114.0833,-11.99,97,96,8.12
225,Skjervoy,NO,2021-10-29 18:41:31,70.0311,20.9714,41.0,65,97,27.96
226,Rawson,AR,2021-10-29 18:41:31,-43.3002,-65.1023,71.08,34,63,12.01
227,Nkpor,NG,2021-10-29 18:41:32,6.1516,6.8446,81.45,66,100,1.41
228,Bardiyah,LY,2021-10-29 18:41:32,31.7561,25.0865,72.48,72,99,5.44
229,Puerto Del Rosario,ES,2021-10-29 18:40:34,28.5004,-13.8627,71.35,73,20,11.5
230,Naron,ES,2021-10-29 18:41:33,43.5167,-8.1528,58.68,89,100,14.72
231,Marrakesh,MA,2021-10-29 18:41:08,31.6315,-8.0083,73.47,43,0,4.61
232,Caico,BR,2021-10-29 18:39:31,-6.4583,-37.0978,99.05,20,90,10.11
233,Sume,BR,2021-10-29 18:41:33,-7.6717,-36.88,85.37,38,100,14.45
234,Paamiut,GL,2021-10-29 18:41:34,61.994,-49.6678,32.92,91,85,8.46
235,Georgetown,MY,2021-10-29 18:41:34,5.4112,100.3354,80.89,93,40,5.01
236,Omsukchan,RU,2021-10-29 18:41:35,62.5333,155.8,11.19,95,100,4.61
237,Filingue,NE,2021-10-29 18:41:35,14.3521,3.3168,93.78,11,87,6.22
238,Waingapu,ID,2021-10-29 18:41:36,-9.6567,120.2641,80.58,81,99,3.89
239,Belle Fourche,US,2021-10-29 18:41:36,44.6714,-103.8522,76.5,32,36,3.02
240,Alzamay,RU,2021-10-29 18:41:36,55.5562,98.6644,33.31,57,100,4.68
241,Yerbogachen,RU,2021-10-29 18:41:37,61.2767,108.0108,21.33,76,100,7.14
242,Airai,TL,2021-10-29 18:41:37,-8.9266,125.4092,61.57,90,100,0.6
243,Ewing,US,2021-10-29 18:41:38,40.2698,-74.7999,60.51,72,90,20.71
244,Letterkenny,IE,2021-10-29 18:41:38,54.95,-7.7333,49.89,96,100,4.07
245,Amapa,BR,2021-10-29 18:41:38,1.0,-52.0,85.19,55,100,3.02
246,Mutis,CO,2021-10-29 18:41:39,6.2262,-77.4044,79.0,85,100,4.94
247,Aklavik,CA,2021-10-29 18:41:39,68.2191,-135.0107,23.83,94,100,1.5
248,Ahipara,NZ,2021-10-29 18:41:40,-35.1667,173.1667,60.35,93,100,5.86
249,Hamilton,US,2021-10-29 18:40:22,39.1834,-84.5333,59.88,96,90,1.01
250,Bilma,NE,2021-10-29 18:41:40,18.6853,12.9164,84.56,15,40,6.64
251,Great Falls,US,2021-10-29 18:40:24,47.5002,-111.3008,68.16,31,20,18.99
252,Grindavik,IS,2021-10-29 18:41:41,63.8424,-22.4338,46.35,87,75,12.66
253,Mount Darwin,ZW,2021-10-29 18:41:41,-16.7725,31.5838,66.58,47,7,3.71
254,Norman Wells,CA,2021-10-29 18:41:42,65.282,-126.8329,21.24,93,75,3.44
255,Goure,NE,2021-10-29 18:41:42,13.9835,10.2704,90.01,11,100,9.6
256,Aksu,CN,2021-10-29 18:41:42,41.1231,80.2644,51.13,33,100,4.14
257,Katsuura,JP,2021-10-29 18:41:43,35.1333,140.3,54.1,70,0,8.3
258,Gizo,SB,2021-10-29 18:41:43,-8.103,156.8419,83.08,76,57,8.08
259,Toora-Khem,RU,2021-10-29 18:41:44,52.4675,96.11,26.96,84,99,2.01
260,Hambantota,LK,2021-10-29 18:41:44,6.1241,81.1185,77.34,100,75,4.61
261,Turbat,PK,2021-10-29 18:41:44,26.0023,63.044,79.95,38,0,4.03
262,Kloulklubed,PW,2021-10-29 18:41:45,7.0419,134.2556,81.1,77,100,15.61
263,Sitka,US,2021-10-29 18:41:45,57.0531,-135.33,39.09,87,75,9.22
264,Sahuaripa,MX,2021-10-29 18:41:46,29.05,-109.2333,88.12,15,0,4.03
265,Juegang,CN,2021-10-29 18:41:46,32.3174,121.1855,64.9,73,100,3.2
266,Nemuro,JP,2021-10-29 18:41:47,43.3236,145.575,47.88,76,87,18.16
267,Gazojak,TM,2021-10-29 18:41:47,41.1875,61.4036,46.85,47,0,7.36
268,Namtsy,RU,2021-10-29 18:41:47,62.7161,129.6658,14.11,96,35,6.62
269,Qiongshan,CN,2021-10-29 18:41:48,20.0058,110.3542,75.18,94,75,6.71
270,Willmar,US,2021-10-29 18:41:48,45.1219,-95.0433,54.48,54,1,8.05
271,Novoagansk,RU,2021-10-29 18:41:49,61.9449,76.6625,21.2,93,100,22.21
272,Treinta Y Tres,UY,2021-10-29 18:41:49,-33.2333,-54.3833,77.11,56,0,15.48
273,Oussouye,SN,2021-10-29 18:41:50,12.485,-16.5469,84.38,72,100,2.84
274,Mandera,KE,2021-10-29 18:41:50,3.9366,41.867,88.68,40,83,10.42
275,Adrar,MR,2021-10-29 18:41:51,20.5022,-10.0711,81.34,25,9,10.45
276,Amvrosiyivka,UA,2021-10-29 18:41:51,47.7935,38.4777,46.6,68,3,6.49
277,Yulara,AU,2021-10-29 18:41:51,-25.2406,130.9889,73.24,18,75,14.97
278,Shentala,RU,2021-10-29 18:41:52,54.45,51.4833,30.83,53,100,5.66
279,Los Banos,PH,2021-10-29 18:41:52,14.1667,121.1833,79.29,86,14,8.03
280,Malanje,AO,2021-10-29 18:41:53,-9.5402,16.341,69.08,83,100,5.7
281,Yuzhno-Kurilsk,RU,2021-10-29 18:41:53,44.0306,145.8556,48.0,86,100,22.73
282,Vredendal,ZA,2021-10-29 18:41:53,-31.6683,18.5012,61.3,83,0,5.77
283,Mahebourg,MU,2021-10-29 18:41:12,-20.4081,57.7,74.25,88,75,2.3
284,Jimenez,MX,2021-10-29 18:41:54,28.3333,-105.4,75.81,13,0,4.76
285,Coahuayana,MX,2021-10-29 18:41:08,18.7333,-103.6833,87.85,65,49,5.84
286,Bubaque,GW,2021-10-29 18:41:55,11.2833,-15.8333,83.34,71,100,7.81
287,Bendigo,AU,2021-10-29 18:41:55,-36.7667,144.2833,39.63,46,0,1.01
288,Portland,US,2021-10-29 18:37:00,45.5234,-122.6762,55.15,92,75,1.01
289,Opuwo,NA,2021-10-29 18:41:56,-18.0607,13.84,79.88,35,40,8.23
290,Curup,ID,2021-10-29 18:41:57,-3.4667,102.5333,68.23,95,97,1.81
291,Capinopolis,BR,2021-10-29 18:41:57,-18.6819,-49.5697,88.36,39,75,6.22
292,Verkhnechusovskiye Gorodki,RU,2021-10-29 18:41:57,58.1671,57.1086,20.95,76,100,5.84
293,Soyo,AO,2021-10-29 18:41:58,-6.1349,12.3689,79.2,80,42,2.71
294,Russell,US,2021-10-29 18:41:58,32.3502,-85.1999,58.6,64,90,6.91
