City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Winnemucca,US,40.973,-117.7357,64.45,45,1,8.05,clear sky
238,Karaton,ID,-6.3424,106.1045,77.16,93,99,1.34,overcast clouds
239,Usinsk,RU,65.9939,57.5281,9.16,93,100,7.85,overcast clouds
240,Zhezkazgan,KZ,47.8043,67.7144,42.94,65,100,13.56,overcast clouds
241,Georgetown,MY,5.4112,100.3354,77.9,94,20,2.3,few clouds
242,Bairiki,KI,1.3292,172.9752,82.4,78,40,4.61,scattered clouds
243,Port Charlotte,US,26.9762,-82.0906,78.98,61,75,1.99,broken clouds
244,Trujillo,PE,-8.116,-79.03,64.36,77,40,9.22,fog
245,Nogliki,RU,51.8333,143.1667,27.77,76,80,10.56,broken clouds
246,Mackay,AU,-21.15,149.2,75.04,100,3,0.0,clear sky
247,Port Hardy,CA,50.6996,-127.4199,44.6,81,40,2.3,scattered clouds
248,Saint-Joseph,RE,-21.3667,55.6167,70.16,81,99,3.31,overcast clouds
249,Salalah,OM,17.0151,54.0924,80.69,69,0,1.14,clear sky
250,Sindor,RU,62.8629,51.8905,31.71,99,100,2.24,overcast clouds
251,Yinchuan,CN,38.4681,106.2731,43.86,39,0,6.96,clear sky
252,Skelleftea,SE,64.7507,20.9528,43.16,69,20,1.01,few clouds
253,Beltinci,SI,46.6053,16.2406,50.99,78,0,5.41,clear sky
254,Wakkanai,JP,45.4094,141.6739,53.64,73,100,16.35,overcast clouds
255,Virginia Beach,US,36.8529,-75.978,67.05,61,96,10.0,overcast clouds
256,Beringovskiy,RU,63.05,179.3167,5.58,96,97,18.23,overcast clouds
257,Georgiyevka,KZ,43.0369,74.7114,37.44,100,100,6.71,smoke
258,Bengkulu,ID,-3.8004,102.2655,75.83,91,100,4.54,overcast clouds
259,Pochutla,MX,15.7432,-96.4661,85.82,61,44,7.81,scattered clouds
260,Sucua,EC,-2.4667,-78.1667,83.14,50,20,4.61,light rain
261,Sao Jose Do Belmonte,BR,-7.8614,-38.7597,89.33,24,7,7.74,clear sky
262,Hervey Bay,AU,-25.2986,152.8535,77.04,86,99,11.56,overcast clouds
263,Mecca,SA,21.4267,39.8261,81.66,59,0,1.07,clear sky
264,Zeya,RU,53.75,127.2667,21.97,46,0,0.49,clear sky
265,Piombino,IT,42.9348,10.5221,64.56,76,100,1.99,overcast clouds
266,Christchurch,NZ,-43.5333,172.6333,62.94,44,0,19.57,clear sky
267,Zaysan,KZ,47.4667,84.8667,44.22,59,100,3.62,overcast clouds
268,Ahipara,NZ,-35.1667,173.1667,61.86,94,100,7.87,overcast clouds
269,Gamba,GA,-2.65,10.0,76.6,91,100,6.93,moderate rain
270,Fomboni,KM,-12.28,43.7425,78.31,73,0,7.09,clear sky
271,Gazli,UZ,40.1333,63.45,55.56,41,100,8.19,overcast clouds
272,Mandali,IQ,33.7499,45.5541,82.71,26,100,6.2,overcast clouds
273,Chara,RU,56.9064,118.2631,19.06,62,100,0.98,overcast clouds
274,Bac Lieu,VN,9.285,105.7244,79.75,86,90,11.72,overcast clouds
275,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,92.88,36,54,3.15,moderate rain
276,Mahajanga,MG,-15.7167,46.3167,77.02,69,20,5.75,few clouds
277,Alice Springs,AU,-23.7,133.8833,60.35,77,75,0.0,broken clouds
278,Lardos,GR,36.0942,28.0157,66.94,84,100,5.91,overcast clouds
279,Pacific Grove,US,36.6177,-121.9166,70.02,83,75,1.99,broken clouds
280,Koungou,YT,-12.7336,45.2042,74.91,78,0,3.44,clear sky
281,Vanavara,RU,60.34,102.2797,24.49,71,89,11.01,overcast clouds
282,Port Elizabeth,ZA,-33.918,25.5701,58.1,93,5,3.47,clear sky
283,Manaus,BR,-3.1019,-60.025,91.89,55,20,5.75,few clouds
284,Ancud,CL,-41.8697,-73.8203,62.13,47,0,2.39,clear sky
285,Iberia,US,29.9502,-91.7507,71.6,49,1,9.22,clear sky
286,Srednekolymsk,RU,67.45,153.6833,-9.72,99,100,5.08,overcast clouds
287,San Jose,US,37.3394,-121.895,73.27,67,75,1.01,broken clouds
288,Tirunelveli,IN,8.7333,77.7,78.8,83,100,4.09,light rain
289,Sonepur,IN,20.8333,83.9167,72.68,87,96,0.78,overcast clouds
290,Pangnirtung,CA,66.1451,-65.7125,33.35,99,100,9.53,snow
291,Kjopsvik,NO,68.097,16.3742,45.18,94,100,7.45,overcast clouds
292,Kensington,AU,-33.9167,151.2167,57.69,74,75,4.61,broken clouds
293,Esperance,AU,-33.8667,121.9,53.44,70,6,14.97,clear sky
294,Palmaner,IN,13.2,78.75,67.95,96,100,1.86,overcast clouds
295,Poum,NC,-20.2333,164.0167,74.86,73,32,4.85,scattered clouds
296,Yanam,IN,16.7333,82.2167,77.0,90,100,3.91,overcast clouds
297,Matara,LK,5.9485,80.5353,76.5,91,47,3.24,scattered clouds
298,Orikhiv,UA,47.5673,35.7858,41.63,70,2,8.25,clear sky
299,Starachowice,PL,51.0374,21.0713,55.02,47,4,11.48,clear sky
300,Fairbanks,US,64.8378,-147.7164,41.34,72,20,6.91,few clouds
301,Angoche,MZ,-16.2325,39.9086,75.09,71,5,9.1,clear sky
302,Colares,PT,38.7992,-9.4469,70.32,89,75,3.0,mist
303,Armidale,AU,-30.5167,151.65,46.81,90,96,9.8,overcast clouds
304,Palmer,US,42.1584,-72.3287,59.9,85,90,1.99,moderate rain
305,Dandong,CN,40.1292,124.3947,52.7,86,100,3.76,overcast clouds
306,Los Algarrobos,PA,8.5,-82.4333,82.81,74,40,17.27,scattered clouds
307,Dunedin,NZ,-45.8742,170.5036,59.81,90,26,11.01,scattered clouds
308,Nova Olinda Do Norte,BR,-3.8881,-59.0942,89.78,50,99,2.82,overcast clouds
309,Acari,PE,-15.4311,-74.6158,79.5,50,11,9.71,few clouds
310,Aloleng,PH,16.1307,119.7824,78.58,78,7,7.94,clear sky
311,Akdepe,TM,42.0551,59.3788,41.09,52,2,5.77,clear sky
312,Mingguang,CN,32.7802,117.9638,59.45,63,59,4.74,light rain
313,Waddan,LY,29.1614,16.139,71.83,31,100,6.06,overcast clouds
314,Storm Lake,US,42.6411,-95.2097,64.09,38,0,8.08,clear sky
315,Trinidad,BO,-14.8333,-64.9,96.78,41,40,9.22,scattered clouds
316,Lokosovo,RU,61.1333,74.8167,9.12,98,57,4.16,broken clouds
317,Araguaina,BR,-7.1911,-48.2072,89.56,43,52,8.52,broken clouds
318,Kiama,AU,-34.6833,150.8667,53.08,86,0,4.23,clear sky
319,Nipawin,CA,53.3668,-104.0009,39.24,60,90,18.41,overcast clouds
320,Saint-Louis,SN,16.3333,-15.0,89.87,30,92,16.96,overcast clouds
321,Laguna,US,38.421,-121.4238,74.23,71,20,1.01,few clouds
322,Tucurui,BR,-3.7661,-49.6725,88.92,50,65,1.1,broken clouds
323,Ribeira Grande,PT,38.5167,-28.7,70.2,88,75,9.22,broken clouds
324,Flin Flon,CA,54.7682,-101.865,39.04,45,90,16.11,overcast clouds
