City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
491,Tubuala,PA,85.33,overcast clouds,9.5167,-79.0333,Río Nabagana
492,Da Nang,VN,77.05,broken clouds,16.0678,108.2208,Sun River Hotel
496,El Tigre,VE,83.14,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
499,Ikirun,NG,80.08,overcast clouds,7.9167,4.6667,Turode Hotel
500,Wanlaweyn,SO,78.62,broken clouds,2.6185,44.8938,GAASHAAN HOME
509,San Patricio,US,87.06,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
514,Mangrol,IN,76.41,broken clouds,21.1167,70.1167,Hotel The Royal Honours
517,Mana,GF,82.44,few clouds,5.6592,-53.7767,LE SAMANA
522,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
525,Arlit,NE,86.77,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
530,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
532,Santa Rosa,PH,79.86,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
533,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
540,Champerico,GT,85.95,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
546,Srandakan,ID,77.14,overcast clouds,-7.9386,110.2506,Puri Brata
553,Tarakan,ID,78.89,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
555,Sumbe,AO,75.54,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
558,Myingyan,MM,75.24,clear sky,21.4667,95.3833,Zaw ဆိုင်ကယ်ရောင်းဝယ်ရေး
561,Cuamba,MZ,75.74,clear sky,-14.8031,36.5372,Hotel Vision
563,Curico,CL,78.91,clear sky,-34.9833,-71.2333,Hotel Raices
564,Upata,VE,81.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
567,Boyolangu,ID,76.3,overcast clouds,-8.1181,111.8935,Yos ega cv
568,Bongor,TD,85.59,overcast clouds,10.2806,15.3722,Oryx Palace
570,Puerto Carreno,CO,85.64,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
571,Voh,NC,77.92,clear sky,-20.9667,164.7,Le gîte du Koniambo
572,Morant Bay,JM,84.65,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
574,Liberal,US,79.83,clear sky,37.0431,-100.921,Hampton Inn & Suites Liberal
579,Savannah Bight,HN,84.0,broken clouds,16.45,-85.85,Villa on Dunbar Rock
580,Sokone,SN,78.96,overcast clouds,13.8833,-16.3667,Hôtel le Caïman
581,Puerto Ayacucho,VE,83.1,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
582,Fare,PF,78.03,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
583,Akyab,MM,78.03,broken clouds,20.15,92.9,Hotel Memory
588,Lano,NG,83.98,overcast clouds,10.1725,11.4715,Lano
594,Natal,BR,83.05,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
595,Princeton,US,82.4,scattered clouds,25.5384,-80.4089,American Best Inn
596,Itarema,BR,80.55,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
600,Micoud,LC,84.18,few clouds,13.8167,-60.9,Zamacà
603,Salta,AR,89.89,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
609,Guanambi,BR,85.39,broken clouds,-14.2233,-42.7814,Leopoldo Hotel
610,Pemangkat,ID,78.98,scattered clouds,1.1667,108.9667,Ramah Kost KITA
611,Nicoya,CR,76.55,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
614,Yenagoa,NG,76.95,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
621,Vicosa Do Ceara,BR,75.76,overcast clouds,-3.5622,-41.0922,Pousada Sitio Ipe
622,Manavalakurichi,IN,78.89,light rain,8.1333,77.3,Udaya Boys Hostel
623,Casambalangan,PH,76.96,overcast clouds,18.3765,122.1274,Villa Saturnina
628,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
632,Escarcega,MX,84.0,clear sky,18.6089,-90.7454,Hotel Maria Isabel
638,Namatanai,PG,81.7,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
640,Puerto Colombia,CO,78.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
641,Bani,DO,89.04,few clouds,18.2833,-70.3333,Hospedaje Henriquez
